date,Open_Price,High_Price,Low_Price,Volume,Close_Price
06/16/2020,106.25,106.87,103.37,3829031,105.21
06/17/2020,104.93,106,104.32,4345818,104.92
06/18/2020,105.38,107.2,104.1,2874262,106.97
06/19/2020,107.8,109,106.1,4181389,108.79
06/22/2020,109.8,110.29,108.71,3664567,109.56
06/23/2020,110,111.28,109.25,3164075,111
06/24/2020,111,111.91,109.22,4180756,109.53
06/25/2020,109,109.95,108.01,5601669,109.05
06/26/2020,109.58,110.6,109.33,2440079,110.24
06/29/2020,110.24,111.1,108.72,1969391,109.74
06/30/2020,110.95,110.95,109.25,1667919,109.52
07-01-2020,110.92,111.2,108.75,1781342,111.04
07-02-2020,111.11,112.47,111.11,2697856,112.1
07-03-2020,112.65,112.89,112.14,1736490,112.51
07-06-2020,113.88,114.56,112.8,2874054,114.28
07-07-2020,114.28,114.97,113.43,2472941,114.65
07-08-2020,114.65,115.2,113.6,1888863,113.85
07-09-2020,113.85,115.2,113.85,1791188,115.07
07-10-2020,114.1,115.07,113.86,1703311,114.38
07/13/2020,117,117,114.26,2318031,114.86
07/14/2020,114.79,115.1,112.4,3298092,112.93
07/15/2020,113.99,114.99,112.61,3082696,112.97
07/16/2020,113.99,114.24,112.53,1849501,114.08
07/17/2020,114.9,116.17,114.15,2349481,115.81
07/20/2020,116.1,118,116.05,2990564,117.06
07/21/2020,117.16,118.73,116.8,3251989,118.54
07/22/2020,119,119.2,117.35,2531693,118.11
07/23/2020,118.98,119.2,117.11,1948030,119.08
07/24/2020,118.3,119.3,117.71,2172268,118.99
07/27/2020,118.99,119.95,118,1759243,118.39
07/28/2020,119.25,120.19,117.7,1684394,120.02
07/29/2020,135.6,135.6,118.8,1794840,119.26
07/30/2020,120.45,120.45,117.79,1906744,117.96
07/31/2020,116.01,118.6,116.01,1481516,118.02
08-03-2020,118.02,119.5,116.05,2747227,116.17
08-04-2020,116.3,118.15,116.25,1291694,118
08-05-2020,118.02,119.24,117.64,1407351,118.03
08-06-2020,118.95,119.68,118.18,1615399,119.02
08-07-2020,119.6,119.65,118.16,776576,119.35
08-10-2020,119.1,120.39,119.1,1036138,119.97
08-11-2020,120.9,120.98,120.05,755382,120.44
08-12-2020,120.25,120.75,119.27,892720,120.33
08/13/2020,121.27,121.44,119.91,1022353,120.49
08/14/2020,121,121.27,118.33,1546537,119.26
08/17/2020,120.45,120.9,119,1696683,119.88
08/18/2020,120.15,121.07,119.3,1675189,120.97
08/19/2020,122.5,122.5,121,3338356,121.13
08/20/2020,120.45,120.82,119.33,4239885,120.42
08/21/2020,121.99,121.99,120.5,684750,121.11
08/24/2020,122.49,139.3,121.11,1136294,122
08/25/2020,122.98,124.99,121.36,975133,121.93
08/26/2020,135,135,121.8,965666,122.75
08/27/2020,139,139,122.55,1150255,122.91
08/28/2020,129,129,122.9,1532069,124.04
08/31/2020,139,139,120.45,3949062,121.03
09-01-2020,134.88,134.88,120,1354038,122.15
09-02-2020,125,125,121.56,1206221,122.75
09-03-2020,129.88,129.88,122.11,990176,122.73
09-04-2020,121.25,122.05,102.26,1498133,121.12
09-07-2020,134.88,134.88,119,1011229,121.27
09-08-2020,133.88,133.88,120.65,1193139,120.85
09-09-2020,120.75,120.75,115.05,1567827,120.34
09-10-2020,129,129,116.8,1180882,121.94
09-11-2020,134.88,134.88,121.54,1149385,122.13
09/14/2020,127,127,121.52,1051387,122.13
09/15/2020,127,127,122.1,1137606,122.9
09/16/2020,141.3,141.3,120,1142264,123.71
09/17/2020,125.66,125.66,122,891649,122.72
09/18/2020,130,130,111.7,631382,122.66
09/21/2020,127.4,127.4,118.85,1765428,119.92
09/22/2020,115,125,115,1654611,118.91
09/23/2020,130,130,117.8,1291470,118.95
09/24/2020,120,120,115.56,2545881,115.76
09/25/2020,116.85,118.11,115,1640526,117.87
09/28/2020,120,120,117.91,1311060,119.75
09/29/2020,130,130,119.41,1496038,119.82
09/30/2020,122,122.42,118.55,1045912,119.93
10-01-2020,120.5,121.74,119.72,1429824,121.61
10-05-2020,125,125,120.05,2450876,122.38
10-06-2020,124,124.2,120,1563246,124.03
10-07-2020,127.45,127.45,116.6,1645542,124.89
10-08-2020,127,127,123.3,2178637,125.91
10-09-2020,130,130,125.7,2170221,126.99
10-12-2020,124,128.1,124,2384129,126.96
10/13/2020,129,130,126,1505033,127.02
10/14/2020,127.55,127.69,125.8,1702320,127.42
10/15/2020,128,128,124,3686080,124.81
10/16/2020,125.44,125.92,124.6,2100993,125.62
10/19/2020,130,130,124.61,1702515,126.81
10/20/2020,130,130,125.25,1244069,126.77
10/21/2020,130,130,125.41,1714840,126.98
10/22/2020,128,128,126,1185728,126.73
10/23/2020,128,128,126.73,1099448,127.11
10/26/2020,146.2,146.2,125.2,1653725,125.81
10/27/2020,109.5,129.99,109.5,1375559,126.81
10/28/2020,119.2,145.8,119.2,1802732,125.4
10/29/2020,129.5,139,124,1442980,124.72
10/30/2020,130,138,123.4,1694334,124.57
11-02-2020,127.69,127.69,123.4,2026545,124.37
11-03-2020,126,126.24,124.05,1278806,126.01
11-04-2020,139,139,114.7,1720136,127.03
11-05-2020,133,133,127.51,1799777,129.12
11-06-2020,129,130.8,126.51,2090661,130.61
11-09-2020,132,133,131.16,1575611,132.73
11-10-2020,144.7,144.7,132.94,2844216,134.72
11-11-2020,154.9,154.9,122.6,2626835,135.83
11-12-2020,144.7,144.7,134.65,1464974,135.26
11/13/2020,140,140,130,1675631,135.79
11/14/2020,123.6,140,123.6,901758,136.4
11/17/2020,154.88,154.88,136.51,2497489,137.39
11/18/2020,136,149.88,136,1932468,137.9
11/19/2020,120,143.88,120,2243961,136.25
11/20/2020,137,137.33,135,1597557,137
11/23/2020,149,149,136.62,1987751,137.76
11/24/2020,147.88,147.88,129.5,2727726,139.38
11/25/2020,154.74,154.74,137.2,2261085,137.39
11/26/2020,144,144,136.6,7689852,138.24
11/27/2020,150,150,133.04,1273581,138.38
12-01-2020,149.7,149.7,133.1,1452032,139.79
12-02-2020,154,154,138.6,1203053,139.96
12-03-2020,141.23,143,139.91,1344091,140.12
12-04-2020,143.2,143.2,139.95,1151089,141.27
12-07-2020,143,143,140.5,2265003,142.29
12-08-2020,154,154,141.3,1588215,142.86
12-09-2020,146,146,140.5,1490549,144.41
12-10-2020,154,154,143,1541066,143.82
12-11-2020,148,148,142.8,1557017,143.93
12/14/2020,144.99,145.7,143.45,2254461,144.32
12/15/2020,146,146,143.4,1565759,144.61
12/16/2020,159,159,144,1258149,145.82
12/17/2020,154.8,154.8,145.56,1116175,146.56
12/18/2020,159,159,145.4,1745336,146.96
12/21/2020,146.94,146.96,140.55,3192127,142.5
12/22/2020,146.4,146.4,129.7,2462353,143.82
12/23/2020,143.95,145.31,143.28,1280315,145.12
12/24/2020,154.7,154.7,144.45,1837640,146.52
12/28/2020,159,159,146.25,1362994,147.78
12/29/2020,148.4,148.95,148.1,1639088,148.77
12/30/2020,149.41,149.5,148.1,1664595,149.27
12/31/2020,148.15,149.95,148.15,1513100,149.07
01-01-2021,159.68,159.68,147.65,767502,149.57
